42. Shikyo  [恋愛神]    [キャッツアイ麻生店@北海道@北海道] Score: 1613435565 
66. LEE  [世界の傍観者]    [キャッツアイ恵庭店@北海道@北海道] Score: 1610605984 
74. Sasuke  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1608515837 
79. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1606925538 
124. Rinne!?  [三途の水先案内人]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1591210156 
256. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1527767249 
277. SCP-106  [たのしー！]    [キャッツアイ篠路店@北海道@北海道] Score: 1516593385 
292. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1505847994 
309. BIS(9)  [I LOVE ZUNTATA]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1492664054 
311. CHIK.WAV  [つらい]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1491641612 
341. COACH  [LINK FESTIVAL]    [ディノスパークノルベサ@北海道@北海道] Score: 1471646190 
343. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1466652741 
349. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1461899775 
374. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1445624335 
387. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436577498 
436. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1398643446 
470. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1366646240 
530. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313431506 
545. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1299547871 
551. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1297326460 
608. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1252796344 
631. tzw10430  [しんどい]    [キャッツアイ新札幌店@北海道@北海道] Score: 1238424531 
717. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1190943096 
780. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1163331283 
795. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1156653754 
821. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1142329822 
843. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1132405762 
847. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1130621880 
869. Oriens  [NOV, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1118971569 
880. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1109933635 
890. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1103054160 
895. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1101740042 
926. MoyaC.  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1079440930 
934. Jibri-l*  [働かずに食う神]    [キャッツアイ麻生店@北海道@北海道] Score: 1076351112 
941. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1069194755 
962. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1059966211 
995. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1040450699 
