67. TaNiTi  [I love "Black MInD"]    [アルティランド@広島県@中国] Score: 1628810232 
81. SMP  [竹林のルーガルー]    [ナムコランド広島店@広島県@中国] Score: 1626679110 
116. Mojo  [天下無双]    [ビバーチャ@広島県@中国] Score: 1613422035 
139. PICO  [羅刹神]    [アルティランド@広島県@中国] Score: 1602331135 
142. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1601600001 
232. Chuckey  [全都道府県完全制覇]    [ビバーチャ@広島県@中国] Score: 1555454167 
247. ZoKoSu  [しんどい]    [セガ海田@広島県@中国] Score: 1547646381 
266. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1537589996 
341. Naoki*  [全都道府県完全制覇]    [ビバーチャ@広島県@中国] Score: 1485785026 
521. U-TaM*G3  [グルーヴ・リボルバー・ゴッド]    [ナムコランド広島店@広島県@中国] Score: 1328977001 
608. T_TOSHI  [魔奴化]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1267564091 
716. SASUBE  [Keep the King]    [セガ尾道@広島県@中国] Score: 1201375053 
903. *COCO*  [全都道府県完全制覇]    [ビバーチャ@広島県@中国] Score: 1107392362 
920. OMKG_!?  [嗚呼、素晴らしき神]    [ナムコランド広島店@広島県@中国] Score: 1098402817 
