46. Shikyo  [VELVET GOD]    [ギャラクシーゲート函館@北海道@北海道] Score: 1686375679 
54. SCOTT  [茨城勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1685950933 
59. LEE  [I Love 格ゲー]    [ギャラクシーゲート函館@北海道@北海道] Score: 1685605831 
80. cycla.  [店内AAA CLASS]    [キャッツアイ麻生店@北海道@北海道] Score: 1680354718 
115. chris  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1670536158 
121. Sasuke  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1667720891 
151. HAOKA  [北海道勢]    [ラウンドワン函館店@北海道@北海道] Score: 1653776428 
281. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1574860626 
293. BIS(9)  [すっごーい！]    [ギャラクシーゲート函館@北海道@北海道] Score: 1562354790 
300. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1560826010 
333. SCP-106  [無理]    [ギャラクシーゲート函館@北海道@北海道] Score: 1536022020 
340. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1527334573 
348. COACH  [中級者]    [ギャラクシーゲート函館@北海道@北海道] Score: 1517158800 
351. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1516469843 
395. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
437. Syu  [無理]    [ギャラクシーゲート函館@北海道@北海道] Score: 1449391915 
464. Toma9/  [無彩色神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1427085526 
505. AYATAKA  [Wacky king]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1392701481 
533. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1362151068 
610. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
616. tzw10430  [労働反対神]    [キャッツアイ新札幌店@北海道@北海道] Score: 1305686936 
677. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1261445977 
681. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1257630309 
693. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1247885360 
709. Oriens  [JAN, 2018 TOP RANKER]    [ビックバン滝川@北海道@北海道] Score: 1239260761 
776. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1198559108 
865. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1152695901 
868. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1152009429 
885. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1144548228 
917. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
933. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
935. *SOHI***  [「荒ぶる戦士」]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1118734688 
952. MoyaC.  [I love ATTACK THE MUSIC]    [ラウンドワン函館店@北海道@北海道] Score: 1110736189 
961. Bump  [サドマミゴッド]    [キャッツアイ篠路店@北海道@北海道] Score: 1105659804 
962. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1105393056 
973. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
989. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
