16. mikan?  [God of Warrior]    [ラウンドワン青森店@青森県@東北] Score: 1607659172 
41. BRO  [DullaQueen]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1600991882 
82. FIEL  [ガンバ、ガンバ、ファイト♪]    [スペースファンタジーインフィニ@青森県@東北] Score: 1590613323 
138. ())  [ドリームパーティーゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1573651522 
185. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1553727059 
289. IZAWA/  [強欲の魔法使い]    [ユーズランド下田店@青森県@東北] Score: 1495544765 
299. HAOKA  [北海道勢]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1486850985 
315. shogoHG  [どんつくどんつくどんつくどんつく]    [スペースファンタジーインフィニ@青森県@東北] Score: 1475371793 
338. YURA*ch  [サイエンスゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1458600604 
432. Z.F  [THE EMBRYON]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1384210871 
464. ENBI-N  [Crazy ∞ Goddess]    [ゲームフェスタミタマ@青森県@東北] Score: 1357438372 
600. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1249283806 
607. nEkO?  [悪ノ女神]    [ラウンドワン青森店@青森県@東北] Score: 1243501458 
641. YUSUKE  [死欲の半霊]    [ユーズランド下田店@青森県@東北] Score: 1219863133 
644. IST-GC3L  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1216603284 
730. ARUSU()  [GOD]    [セガ弘前@青森県@東北] Score: 1175302870 
765. TENTAI2  [天体観測神]    [ユーズランド下田店@青森県@東北] Score: 1162672019 
876. ZoNE  [ラブリーテクニシャン]    [ラウンドワン青森店@青森県@東北] Score: 1102066742 
993. *SOHI***  [オルトロス]    [ゲームフェスタミタマ@青森県@東北] Score: 1031319697 
