45. Shikyo  [流星神]    [キャッツアイ麻生店@北海道@北海道] Score: 1607362611 
55. LEE  [幻想郷の神主]    [キャッツアイ恵庭店@北海道@北海道] Score: 1606588935 
87. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1598938310 
94. Sasuke  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1597271198 
117. Rinne!?  [三途の水先案内人]    [プラボ札幌西町店@北海道@北海道] Score: 1589217795 
127. Naka.F  [死ぬがよい。]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1583239574 
258. Tokky  [MY FIRST GOD]    [キャッツアイ麻生店@北海道@北海道] Score: 1520904410 
268. SCP-106  [Stratospheric God]    [キャッツアイ篠路店@北海道@北海道] Score: 1515564249 
282. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1505847994 
305. BIS(9)  [I LOVE ZUNTATA]    [キャッツアイ新札幌店@北海道@北海道] Score: 1490724172 
315. CHIK.WAV  [初代SS CLASS]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1484947522 
339. Ayahi  [I love "Five to Seven"]    [アドアーズ狸小路@北海道@北海道] Score: 1465747609 
343. COACH  [LINK FESTIVAL]    [キャッツアイ新札幌店@北海道@北海道] Score: 1462673383 
350. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1455039848 
375. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1438650064 
378. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1435592930 
446. Toma9/  [無彩色神]    [キャッツアイ麻生店@北海道@北海道] Score: 1381786316 
466. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1366646240 
526. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310527967 
543. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1297326460 
583. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1264738204 
603. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1251787031 
647. tzw10430  [S+級カニみそ]    [キャッツアイ新札幌店@北海道@北海道] Score: 1222165859 
759. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1168701075 
787. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1155269949 
791. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1151643775 
833. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1132405762 
835. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1130621880 
836. BOLUX  [ブローン自走要塞]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1130327923 
873. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1109933635 
879. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1107880447 
885. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1103054160 
887. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1101740042 
926. MoyaC.  [安全運転?女神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1077447624 
932. Jibri-l*  [九龍神]    [キャッツアイ麻生店@北海道@北海道] Score: 1073501942 
935. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1069194755 
960. Bump  [I love "天体観測"]    [キャッツアイ麻生店@北海道@北海道] Score: 1055376862 
991. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1040450699 
