27. Shikyo  [Quartet God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1675332331 
91. Sasuke  [┌[・ ・]┘god]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1660552228 
98. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1658642103 
102. LEE  [真・六段]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1656779348 
176. cycla.  [I love "二息歩行"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1623838329 
217. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1602492014 
274. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1562709729 
290. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1550849402 
295. BIS(9)  [すっごーい！]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1546080420 
322. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1527041027 
324. Yui.  [右肩の神]    [ラウンドワン函館店@北海道@北海道] Score: 1525317399 
343. COACH  [旅人]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1507233555 
348. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1499457770 
352. +HAKASE+  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1498376428 
378. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
421. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1443483140 
455. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1417340561 
503. AYATAKA  [GROOVER]    [キャッツアイ手稲店@北海道@北海道] Score: 1377774266 
517. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1360044382 
581. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
611. tzw10430  [S級にんじん]    [キャッツアイ新札幌店@北海道@北海道] Score: 1291859233 
615. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1289538683 
658. KUROBARA  [神術「吸血鬼幻想」]    [キャッツアイ麻生店@北海道@北海道] Score: 1256887431 
691. SHINDEN  [東京勢]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1236857657 
705. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1227067281 
725. Oriens  [JAN, 2018 TOP RANKER]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1217984601 
851. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1150518966 
854. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1148219664 
862. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1144666941 
865. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1142630726 
889. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
908. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
938. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1104642479 
941. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1102915804 
950. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1100109720 
953. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
973. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
999. S@KRAMnT  [真・一億段]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1067696731 
