"Taiwan"@"2017年09月11日02時10分"

1. Hazuneko(17)  [猫神]  Score: 1551179424
2. GROOVER(62)  [「幼女の世界」]  Score: 1544346324
3. Xuzuo(75)  [Detonator God]  Score: 1542558376
4. %2A_MIKU_%2A(87)  [MikuMikuGod]  Score: 1539710728
5. HORIZON(90)  [Ｓ＋級紅茶]  Score: 1538868694
6. KYONKO(129)  [OVER THE GOD]  Score: 1525468112
7. xx_Adam(136)  [悪ノ女王]  Score: 1521140714
8. S-Kang(155)  [天下一チャレンジャー]  Score: 1514495031
9. xx_LA-LA(166)  [強欲の魔法使い]  Score: 1509774391
10. S_LAN(185)  [α]  Score: 1501675011
11. R.KaBaTa(205)  [発狂大魔人]  Score: 1493926765
12. xx_Clark(219)  [Pray King]  Score: 1488521721
13. 387(224)  [「プリスティンビート」]  Score: 1485676434
14. HAPPYEXE(288)  [第五ノ封印ヲ解放セシ者]  Score: 1454884589
15. L(297)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1448216176
16. MOEOU(357)  [幻想郷の先生]  Score: 1410680939
17. FOX186(406)  [夏だ！海だ！初音ミク]  Score: 1364287711
18. AZUSA%40.%40(490)  [星条旗の女王]  Score: 1295680916
19. B.RS(528)  [神速の反射神経]  Score: 1264535802
20. 3345678(548)  [メイド先生]  Score: 1253062959
21. LDT_JACK(563)  [STARLIGHT GOD]  Score: 1239610326
22. Flaxer%23(567)  [無名の王]  Score: 1237000681
23. Kirby%2364(579)  [青龍]  Score: 1230376600
24. xx_DiC(590)  [妹大王]  Score: 1223361724
25. Xa%3C%3E_xx(647)  [戦車女王]  Score: 1185933453
26. RedBunny(711)  [幸福理論神]  Score: 1154917055
27. LDT-Cus(715)  [LINK MASTER]  Score: 1153954858
28. NGGFN(726)  [レンかわいいよレン]  Score: 1147017818
29. G8.inc(762)  [練習中]  Score: 1131391752
30. PLATINUM(768)  [十人の話を同時に聞くことが出来る女神]  Score: 1129057385
31. SkyFox(776)  [Help me, DAIOUUUUUU!!]  Score: 1123356917
32. O_____O(781)  [Ｓ＋級焼肉]  Score: 1121515580
33. BIGBANG(784)  [世界の傍観者]  Score: 1118425581
34. AXue(845)  [GROOVER]  Score: 1079103439
35. HALKEN(860)  [I love 燦]  Score: 1073452378
36. +_RM13_(863)  [GENESYS]  Score: 1071317770
37. DBB_HTC(874)  [I love "東方不死鳥"]  Score: 1066806070
38. tinrtgu(876)  [絶望]  Score: 1065425281
39. SAKI(917)  [神霊「夢想封印 瞬」]  Score: 1043312877
40. Kevin(923)  [I love "蒼空に舞え、墨染の桜"]  Score: 1040372462
