44. Shikyo  [秋田勢]    [プラボ札幌西町店@北海道@北海道] Score: 1633418482 
67. Sasuke  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1628411406 
72. chris  [Detonator God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1627666673 
88. LEE  [小さな百鬼夜行]    [キャッツアイ恵庭店@北海道@北海道] Score: 1624574734 
91. OKA-MH  [とり天]    [ギャラクシーゲート函館@北海道@北海道] Score: 1623768528 
113. GIL  [グルーヴ百段]    [ギャラクシーゲート函館@北海道@北海道] Score: 1614012734 
149. Rinne!?  [ピッチピチ16歳]    [プラボ札幌西町店@北海道@北海道] Score: 1598951060 
259. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1541768614 
277. SOUJIROU  [全都道府県完全制覇]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1527053245 
282. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1525548387 
291. SCP-106  [無理]    [キャッツアイ麻生店@北海道@北海道] Score: 1522527307 
308. CHIK.WAV  [尊い・・・]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1509345866 
313. BIS(9)  [すっごーい！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1507361368 
335. COACH  [I love ATTACK THE MUSIC]    [ギャラクシーゲート函館@北海道@北海道] Score: 1488572315 
348. +HAKASE+  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1479135057 
351. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1474404258 
388. TKK  [しんどい]    [キャッツアイ麻生店@北海道@北海道] Score: 1446576355 
394. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1440626600 
409. Indigo  [I love ATTACK THE MUSIC]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1422239843 
439. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1407323400 
485. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
527. AYATAKA  [緑眼の女王]    [キャッツアイ手稲店@北海道@北海道] Score: 1322864536 
542. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313426934 
547. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1310382473 
569. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
631. tzw10430  [労働反対神]    [キャッツアイ新札幌店@北海道@北海道] Score: 1250893086 
633. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249805265 
731. SHINDEN  [渋谷神]    [キャッツアイ手稲店@北海道@北海道] Score: 1195617116 
732. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1195589477 
818. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
827. Oriens  [DEC, 2017 TOP RANKER]    [キャッツアイ麻生店@北海道@北海道] Score: 1146787042 
839. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1142118655 
867. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
869. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
901. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
910. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1102901027 
919. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1098762644 
932. MoyaC.  [I love IOSYS]    [ギャラクシーゲート函館@北海道@北海道] Score: 1088403223 
937. Bump  [エストポリス神]    [キャッツアイ麻生店@北海道@北海道] Score: 1087078500 
939. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1085383069 
967. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
