102. Mayuge.S  [Horizons God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1730918143 
111. ++aiko++  [Caramel Mocha God]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1725072053 
164. LEE  [草の根妖怪ネットワーク]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1699560803 
189. zanji86  [Detonator God]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1689206100 
244. BIS(9)  [すっごーい！]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1643175242 
265. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1622532144 
290. SCP  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1597933886 
322. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1576278497 
358. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1541632280 
376. COACH  [彼女とデートなうって使っていいよ。]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1528030054 
386. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1518152096 
417. AYATAKA  [スレイプニル]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1493419056 
446. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
475. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1440102707 
575. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1349151068 
583. 10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1345932060 
650. AnchoR  [アテンション ゴッド]    [キャッツアイ手稲店@北海道@北海道] Score: 1304169676 
656. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1301751308 
680. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1281174820 
681. Miem.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1280649970 
708. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1261169768 
709. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1260597180 
877. akucchi*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1160418956 
894. Sukurudo  [Starlight Road God]    [キャッツアイ麻生店@北海道@北海道] Score: 1152646890 
907. BOLUX  [ブローン自走要塞]    [キャッツアイ手稲店@北海道@北海道] Score: 1144345390 
908. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1143957494 
947. MoyaC.  [I love ATTACK THE MUSIC]    [ラウンドワン函館店@北海道@北海道] Score: 1124261615 
949. momonoke  [りんご]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1123849659 
981. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1106810269 
986. orca.  [駆け出し]    [キャッツアイ麻生店@北海道@北海道] Score: 1104694088 
