4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1651987320 
12. Shisa  [GLITHCRE GOD]    [ラッキー八千代店@千葉県@関東] Score: 1651429132 
15. CROW  [Beginning God]    [ラッキー八千代店@千葉県@関東] Score: 1651216447 
37. ISiNKaGe  [影の神]    [ラッキー八千代店@千葉県@関東] Score: 1647217700 
40. SCOTT  [春夏秋冬の神]    [ラッキー八千代店@千葉県@関東] Score: 1646661547 
42. KEYJILL*  [TANO*C GOD]    [ラッキー八千代店@千葉県@関東] Score: 1645878589 
54. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1643657578 
102. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1631451853 
109. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ラッキー八千代店@千葉県@関東] Score: 1628470360 
110. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1628369125 
123. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1621617179 
127. BEGINNER  [GROOVER]    [ラッキー八千代店@千葉県@関東] Score: 1619951591 
135. 9M@NO3  [和歌山勢]    [ラッキー八千代店@千葉県@関東] Score: 1616035589 
162. 8MA  [Pray God]    [ラッキー八千代店@千葉県@関東] Score: 1603211697 
170. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1600538718 
178. K-FISHER  [GROOVER]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1598444967 
192. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1591800900 
249. KENTA-09  [Ｓ＋級ラーメン]    [ラッキー八千代店@千葉県@関東] Score: 1554489665 
297. Takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1523521380 
318. TOARU  [尊い・・・]    [ラッキー八千代店@千葉県@関東] Score: 1511775072 
332. LMTAK  [LONG CAPE]    [アミューズメントエース市川店@千葉県@関東] Score: 1495022769 
346. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1487288234 
370. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1466094711 
388. LONGNEGI  [アテンション ゴッド]    [ラッキー八千代店@千葉県@関東] Score: 1450936812 
412. Indigo  [「燃やせ 燃やせ その心を」]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1433015760 
414. PF#(9th  [I Love IA]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1431917650 
448. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1407959276 
450. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1406317889 
467. VteA3mr@  [名も無い幼い少年]    [ラッキー八千代店@千葉県@関東] Score: 1390618714 
491. WARLOCK  [羊神]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1363627834 
498. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1359441206 
504. 321SUNNY  [練習中]    [ラッキー八千代店@千葉県@関東] Score: 1352733909 
509. adaptor  [INFINITY]    [ラッキー八千代店@千葉県@関東] Score: 1349840308 
510. Kagerou  [神々が恋した神]    [プラサカプコン成田店@千葉県@関東] Score: 1349451848 
525. ton_matu  [淡水に棲む人魚]    [ラッキー八千代店@千葉県@関東] Score: 1334799131 
533. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1326234210 
578. Taka+80  [りんご]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1295933829 
582. METAL+  [I love "Help me, ERINNNNNN!!"]    [ラッキー西千葉店@千葉県@関東] Score: 1295057554 
585. A.N.C.B.  [GROOVER]    [ラッキー八千代店@千葉県@関東] Score: 1290908633 
624. teiramic  [Kick It Out Master]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1263057732 
656. Shiba  [メカクシ団]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1242282189 
674. ToKi  [でんぱ神]    [ラッキー八千代店@千葉県@関東] Score: 1234146813 
712. -------0  [ミリアの下僕]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1209560571 
758. EDAMAME  [Satisfiction God]    [タイトー旭サンモール店@千葉県@関東] Score: 1185035966 
776. tnpopo!!  [アイスクリーム神]    [プラサカプコンちはら台店@千葉県@関東] Score: 1176509280 
787. *paripi*  [星の歌姫]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1168461947 
795. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1165875562 
808. NEGIGAMO  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1161275886 
817. YAIBA  [不可能へ挑戦する者]    [セガららぽーとＴＯＫＹＯＢＡＹ@千葉県@関東] Score: 1157686165 
825. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1154970271 
867. FUKUOKA3  [千葉勢]    [タイトーステーション柏店@千葉県@関東] Score: 1132595539 
876. _ABYSS  [小槌「大きくなあれ」]    [セガワールド成田@千葉県@関東] Score: 1128656073 
916. NAYU  [TANO*C GOD]    [タイトーステーション船橋店@千葉県@関東] Score: 1106193852 
936. SHUNSEI  [妹様]    [ラッキー木更津店@千葉県@関東] Score: 1091421848 
941. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1089842504 
980. #bu  [初PERFECT]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1066983457 
995. CHAOS  [Chaos God]    [ラッキー八千代店@千葉県@関東] Score: 1059482504 
