39. Shikyo  [ラブリーテクニシャン]    [プラボ札幌西町店@北海道@北海道] Score: 1620503443 
50. LEE  [世界の傍観者]    [キャッツアイ恵庭店@北海道@北海道] Score: 1619624104 
64. Sasuke  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1615822091 
75. chris  [Detonator God]    [プラボ札幌西町店@北海道@北海道] Score: 1613056642 
132. Rinne!?  [メリークルシミマス！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1593040400 
255. Tokky  [MY FIRST GOD]    [キャッツアイ麻生店@北海道@北海道] Score: 1532698426 
283. SCP-106  [たのしー！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1517575370 
289. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1510755028 
304. BIS(9)  [I LOVE ZUNTATA]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1500134140 
309. CHIK.WAV  [無理]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1497344554 
337. COACH  [S+級ゆきだるま]    [ラウンドワン函館店@北海道@北海道] Score: 1476594663 
349. +HAKASE+  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1466833667 
353. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1463654982 
384. TKK  [しんどい]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1442690546 
392. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1434572736 
435. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1401432088 
478. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
517. kanna  [第三回天下一音ゲ祭 ファイナリスト]    [キャッツアイ麻生店@北海道@北海道] Score: 1323310802 
533. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310522582 
552. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1296594725 
557. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
617. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249803105 
630. tzw10430  [しんどい]    [キャッツアイ新札幌店@北海道@北海道] Score: 1241654467 
716. NAZO-J.I  [GREAT THING]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1192753128 
760. SHINDEN  [God more raves?]    [キャッツアイ手稲店@北海道@北海道] Score: 1173362168 
808. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
827. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1139403367 
850. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
854. Oriens  [NOV, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1128846973 
856. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
887. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
896. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1102697979 
904. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1098762644 
930. MoyaC.  [しんどい]    [ラウンドワン函館店@北海道@北海道] Score: 1081451531 
932. Jibri-l*  [働かずに食う神]    [キャッツアイ麻生店@北海道@北海道] Score: 1076238856 
952. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
969. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1059958772 
