18. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1571792498 
165. tope-kon  [超シューティング神]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1531192357 
277. AIR4545K  [エストポリス先生]    [セガ水沢@岩手県@東北] Score: 1477354126 
352. NAO  [ジルバラードのエンジェル]    [さんさんらんど大船渡@岩手県@東北] Score: 1426433376 
355. Ject  [お困りの忘れ物]    [サン　シャイン@岩手県@東北] Score: 1421300154 
440. Gram  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1348827289 
455. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1334211936 
462. Pepper  [WARNING!!]    [みらい夢　津志田店@岩手県@東北] Score: 1330096212 
482. arx-8  [Tower Master]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1313799010 
505. SU-3.  [VEGAS GOD]    [みらい夢　津志田店@岩手県@東北] Score: 1295928725 
633. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1202377484 
703. KC_puz7  [タイトーLOVE]    [セガ水沢@岩手県@東北] Score: 1171011953 
760. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1144519271 
867. himiya  [ゴーゴー神]    [ラウンドワン盛岡店@岩手県@東北] Score: 1080107776 
