41. Shikyo  [VELVET GOD]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1653483432 
49. LEE  [チョコ la ta ta ta ta goddess]    [キャッツアイ新札幌店@北海道@北海道] Score: 1652796730 
68. Sasuke  [I love "聖者の覚醒"]    [ビッグバン釧路@北海道@北海道] Score: 1649726135 
103. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1640753848 
151. cycla.  [I love "二息歩行"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1617190743 
193. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1598523494 
280. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1544308646 
301. CHIK.WAV  [七福神]    [アドアーズ狸小路@北海道@北海道] Score: 1529644206 
312. Yui.  [右肩の神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1524567911 
313. BIS(9)  [すっごーい！]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1524318533 
317. SCP-106  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1521551041 
339. COACH  [旅人]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1500422128 
342. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1494646873 
345. +HAKASE+  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1493249105 
363. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
410. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1439514541 
448. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1413375441 
512. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1357644996 
518. AYATAKA  [GROOVER]    [キャッツアイ手稲店@北海道@北海道] Score: 1351471344 
570. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1305148682 
577. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1301398354 
601. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1287679842 
627. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1269586656 
654. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1254089729 
689. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1227067281 
711. SHINDEN  [God-House]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1217959863 
735. Oriens  [JAN, 2018 TOP RANKER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1206369372 
853. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1145081947 
858. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1140864035 
861. BOLUX  [つらい]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1137979619 
862. Jindai  [God hive of Ra]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1137001103 
875. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
885. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1128538537 
896. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
930. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1100941602 
933. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
935. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1097435378 
942. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1096173198 
965. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1085041640 
