91. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1725037768 
98. cohalz  [全都道府県完全制覇]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1719303170 
128. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1704735022 
252. AIR4545K  [Ｓ＋級スープ]    [セガ水沢@岩手県@東北] Score: 1627493781 
328. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1566086336 
413. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1488803174 
456. arx-8  [ECLIPSES EYE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1449453536 
496. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1415065434 
497. Siomi  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1412460900 
534. Marg  [ハヤブサ]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1381688319 
558. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1358236709 
804. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1189149703 
976. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1105464631 
