1. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1573000000 
2. marirui  [ピッチピチ16歳]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1573000000 
3. newxh  [S級本多忠勝]    [タイトーステーション所沢店@埼玉県@関東] Score: 1573000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1572986384 
5. Lasty  [I love "ようこそジャパリパークへ"]    [セガ安城@愛知県@東海] Score: 1572937119 
6. zoroakun  [God more raves?]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1572884194 
7. HIHIME  [朱雀]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1572813769 
8. WARNING  [WARNING!!]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1572811020 
9. Megumin  [全知全能の神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1572616883 
10. Shisa  [月夜ノ神]    [セガワールド旭@千葉県@関東] Score: 1572346473 
11. pillow  [ちょっぴりセクシー]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1572299012 
12. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1572298041 
13. DogDept.  [アドリブ調査員]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1572282852 
14. ERION+++  [グルーヴ五十万段]    [テクモピアインターパーク店@栃木県@関東] Score: 1572266561 
15. B  [バーニングフォースゴッド]    [セガ安城@愛知県@東海] Score: 1572245424 
16. Hazuneko  [猫神]    [CLUB SEGA(TIGER CITY)@Taiwan@海外] Score: 1572167874 
17. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1571941851 
18. CROW  [Burst GOD]    [セガ秋葉原１号館@東京都@関東] Score: 1571868633 
19. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1571792498 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1571665699 
21. mikan?  [絶対思想啓蒙局神]    [ラウンドワン青森店@青森県@東北] Score: 1571621653 
22. L.pis*YY  [労働反対神]    [ＴＡＣ郡山@福島県@東北] Score: 1571431667 
23. SofLan  [超シューティング神]    [タイトーステーション浅草店@東京都@関東] Score: 1571035250 
24. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1571021429 
25. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1570986879 
26. LUCA  [MAD GOD]    [タイトーステーション町田店@東京都@関東] Score: 1570980035 
27. SKYMAN  []-[|/34&lt;#! 60|)]    [スターダスト@岡山県@中国] Score: 1570910712 
28. LEMON-E  [オツキミ神]    [ラッキー八千代店@千葉県@関東] Score: 1570715856 
