1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1773000000 
2. marirui  [カーナビ大王]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1773000000 
3. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1773000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1772987633 
5. zoroakun  [Sakura God]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1772937239 
6. HIHIME  [Crimson Phoenix God]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1772864771 
7. DIYUSI  [パワー]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1772819381 
8. Hatuneko  [環状線神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1772362052 
9. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1771517651 
10. ERION  [I love "月光"]    [テクモピアインターパーク店@栃木県@関東] Score: 1771508992 
11. B  [Frey's God]    [半田メトロポリス@愛知県@東海] Score: 1771259326 
12. 2K-DeW  [S＋級せんべい]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1771063060 
13. SKYMAN  [Starlight Road God]    [スターダスト@岡山県@中国] Score: 1770821537 
14. BLACKemo  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1770588524 
15. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1770537239 
16. HAKOBUN3  [Groove master? -xiRemix-]    [半田メトロポリス@愛知県@東海] Score: 1770304357 
17. GUREKO++  [God more raves?]    [ロックンボウル@秋田県@東北] Score: 1770158294 
18. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1770154560 
19. MiroT  [ouroboros king]    [ファンタジードーム八戸@青森県@東北] Score: 1770081629 
20. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1769972702 
21. RAIn  [厄神様]    [プラサカプコン甲府店@山梨県@関東] Score: 1769548549 
22. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1769390186 
23. QWERTZ__  [LINK PERFECT]    [ゲームコーナー東部@宮城県@東北] Score: 1769168929 
24. CloudyB.  [真・千溝段]    [MOFUN SEOUL@Korea@海外] Score: 1768732994 
25. 9tan*3s0  [九龍神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1767977919 
26. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1767933149 
27. juni  [God more raves?]    [セガ鳥取@鳥取県@中国] Score: 1767906034 
28. cosmic  [春夏秋冬の神]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1767868287 
29. KizunaAI  [2.5次元伝説！]    [ロックンボウル@秋田県@東北] Score: 1767690565 
30. KenWongL  [cyanine god]    [AMERICAN POOL@Hong Kong@海外] Score: 1767665662 
