56. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1643440012 
63. LEE  [さいたま神]    [キャッツアイ恵庭店@北海道@北海道] Score: 1642667764 
67. Shikyo  [Shadow God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1641411476 
98. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1633765262 
181. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1597629967 
274. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1541389420 
298. CHIK.WAV  [尊い・・・]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1523104504 
304. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1519548253 
316. BIS(9)  [すっごーい！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1513875955 
336. COACH  [I love ATTACK THE MUSIC]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1492498328 
351. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1484329072 
355. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1480629733 
356. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1480514976 
402. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436618391 
445. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1409199341 
503. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1354646240 
515. AYATAKA  [サイエンスキング]    [キャッツアイ手稲店@北海道@北海道] Score: 1342574966 
565. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1305148682 
571. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1301398354 
593. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1286707334 
618. tzw10430  [ARIA ON THE PLANETES]    [キャッツアイ新札幌店@北海道@北海道] Score: 1266609700 
648. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1246027793 
686. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1222874321 
716. SHINDEN  [人造神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1207896780 
798. Oriens  [DEC, 2017 TOP RANKER]    [ビックバン滝川@北海道@北海道] Score: 1165514119 
847. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1145081947 
853. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1137052077 
864. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1132759841 
869. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1130234102 
880. Jibri-l*  [変なTシャツ女神]    [キャッツアイ麻生店@北海道@北海道] Score: 1126425798 
890. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
923. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1098985377 
924. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
930. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1096173198 
935. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1091682436 
981. KLESS  [I love "魔法少女幸福論"]    [キャッツアイ麻生店@北海道@北海道] Score: 1066332601 
996. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1057436119 
