7. Megumin  [大☆天☆才]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581623579 
87. SHUU  [I love "東方外魔伝"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1563885610 
126. cycla.  [恋愛神]    [セガワールド北山形@山形県@東北] Score: 1554310622 
129. TAKE  [God's Blood]    [ＡＧスクエア庄内@山形県@東北] Score: 1552439822 
191. GFP  [タイトーLOVE]    [セガワールド北山形@山形県@東北] Score: 1524701854 
195. H.SYSTEM  [担仔麺]    [遊パラダイス@山形県@東北] Score: 1523840279 
215. CHIRU9  [I love チルノ]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1512801219 
320. SYANK  [栃木勢]    [アピナ鶴岡店@山形県@東北] Score: 1454226724 
384. UDONGE_  [グルーヴ一万段]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1409935371 
484. RON-G  [I love "ナイト・オブ・ナイツ"]    [スーパーノバ天童@山形県@東北] Score: 1316083070 
564. CO-kichi  [初代D CLASS]    [セガワールド北山形@山形県@東北] Score: 1257045651 
692. FMNR  [ふたつのARIA]    [スーパーノバ天童@山形県@東北] Score: 1176552431 
701. Toaru  [＼ﾁｰﾝ／]    [ビーカム成沢店@山形県@東北] Score: 1174426500 
778. Remilia  [THE BLUE GOD]    [アピナ鶴岡店@山形県@東北] Score: 1138169202 
800. Ohyang  [宮城勢]    [ビーカム成沢店@山形県@東北] Score: 1126519106 
838. FeeT  [二代目超シューティング神]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1105613107 
