35. K.x*N3  [God recover run]    [メジャーゲーム館@新潟県@信越] Score: 1621301092 
44. /*nYa  [緑眼のジェラシー]    [メジャーゲーム館@新潟県@信越] Score: 1620075805 
97. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1606324574 
102. IIBOU  [I love "APELIOTES"]    [タイトーＦステーション上越店@新潟県@信越] Score: 1605758306 
147. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1586005008 
239. 10-LL*  [OMAKENO Kamisama]    [メジャーロード黒埼店@新潟県@信越] Score: 1541353521 
260. Kiririya  [中級者]    [プレイランド長岡店@新潟県@信越] Score: 1528351306 
299. IMAE  [I love "骸骨楽団とリリア"]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1503256901 
319. JAMOJI  [メリークルシミマス！]    [ＯＫ－コーラル@新潟県@信越] Score: 1491512278 
371. Re***  [しんどい]    [アピナ長岡店@新潟県@信越] Score: 1449000539 
387. unagi  [(ﾟ∀ﾟ)o彡゜ごっど！ごっど！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1440732786 
459. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1377388235 
528. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1314634794 
630. KEITA_KU  [しんどい]    [メジャーゲーム館@新潟県@信越] Score: 1241152528 
790. Kouhei  [ouroboros king]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1161315895 
805. HATHUNE  [morning god]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1155801117 
848. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1130806529 
882. Nonnnn**  [無彩色神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1108394165 
911. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1094322812 
951. Y.  [つらい]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1067495828 
998. SAKU*  [ご覚悟くださいませ☆]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1041310505 
