40. Shikyo  [ピュアヒューリーズ]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1653481727 
57. LEE  [閃光の舞姫]    [キャッツアイ新札幌店@北海道@北海道] Score: 1650768377 
63. Sasuke  [I love "聖者の覚醒"]    [ビッグバン釧路@北海道@北海道] Score: 1649726135 
102. chris  [Detonator God]    [キャッツアイ東苗穂店@北海道@北海道] Score: 1639746566 
151. cycla.  [I love "二息歩行"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1617190743 
191. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1598523494 
279. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1544308646 
299. CHIK.WAV  [七福神]    [アドアーズ狸小路@北海道@北海道] Score: 1529644206 
310. Yui.  [右肩の神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1524567911 
311. BIS(9)  [すっごーい！]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1524318533 
316. SCP-106  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1521551041 
337. COACH  [旅人]    [キャッツアイ新札幌店@北海道@北海道] Score: 1499463162 
340. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1494646662 
344. +HAKASE+  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1493249105 
362. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
409. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1439499579 
446. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1413375441 
511. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1355646240 
519. AYATAKA  [GROOVER]    [キャッツアイ手稲店@北海道@北海道] Score: 1349603996 
569. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1305148682 
577. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1301398354 
601. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1287679842 
631. tzw10430  [ARIA ON THE PLANETES]    [キャッツアイ新札幌店@北海道@北海道] Score: 1266775415 
643. kt_flcl  [星の歌姫]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1259660265 
652. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1254089729 
689. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1227067281 
714. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1215940144 
735. Oriens  [JAN, 2018 TOP RANKER]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1204465988 
768. LEGACY  [冬のミクさんマジ天使]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1187103564 
852. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1145081947 
859. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1139867192 
861. BOLUX  [つらい]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1137979619 
862. Jindai  [God hive of Ra]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1137001103 
875. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
884. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1128538537 
896. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
930. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1100941602 
932. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
934. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1097435378 
941. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1096173198 
966. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1083012985 
