56. Mayuge.S  [Horizons God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1726984039 
125. LEE  [FEVER]    [タイトーステーション千歳店@北海道@北海道] Score: 1691587929 
159. ++aiko++  [救世主]    [ビッグバン釧路@北海道@北海道] Score: 1680320445 
160. zanji86  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1680260064 
261. BIS(9)  [I love STG]    [キャッツアイ新札幌店@北海道@北海道] Score: 1605693512 
284. SCP  [でんぱ神]    [ゲームランド新さっぽろ@北海道@北海道] Score: 1588998820 
293. CHIK.WAV  [七福神]    [キャッツアイ恵庭店@北海道@北海道] Score: 1582244840 
318. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1567773969 
341. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1539811942 
356. COACH  [彼女とデートなうって使っていいよ。]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1526054465 
367. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1517435945 
385. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1505257251 
429. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
449. AYATAKA  [Starlight Road God]    [キャッツアイ手稲店@北海道@北海道] Score: 1452107153 
464. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1439103191 
560. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1349151068 
575. 10430  [ウミユリ神]    [キャッツアイ新札幌店@北海道@北海道] Score: 1336846906 
645. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1298880154 
668. Miem.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1280649970 
671. AnchoR  [全知全能の神]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1279911758 
679. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1273384505 
696. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1259600203 
702. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1252110440 
867. akucchi*  [アンノウン・ゴッデス]    [キャッツアイ麻生店@北海道@北海道] Score: 1160415939 
895. BOLUX  [ブローン自走要塞]    [キャッツアイ手稲店@北海道@北海道] Score: 1144345390 
896. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1143957494 
912. Sukurudo  [Starlight Road God]    [キャッツアイ麻生店@北海道@北海道] Score: 1137202221 
936. momonoke  [りんご]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1123849659 
940. MoyaC.  [I love ATTACK THE MUSIC]    [ギャラクシーゲート函館@北海道@北海道] Score: 1120531422 
959. S@KRAMnT  [半人半霊の神]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1108424316 
964. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1106810269 
969. orca.  [駆け出し]    [キャッツアイ麻生店@北海道@北海道] Score: 1104617110 
994. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1092688160 
