107. Mayuge.S  [Horizons God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1730918143 
115. ++aiko++  [Caramel Mocha God]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1725072053 
166. LEE  [I Love 格ゲー]    [キャッツアイ新札幌店@北海道@北海道] Score: 1699565482 
190. zanji86  [Detonator God]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1689206100 
246. BIS(9)  [すっごーい！]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1643175242 
267. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1622532144 
291. SCP  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1597933886 
322. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1576289337 
357. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1544292790 
378. COACH  [彼女とデートなうって使っていいよ。]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1528030054 
388. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1518152096 
413. AYATAKA  [カワウソに似ててもいいよね？]    [キャッツアイ手稲店@北海道@北海道] Score: 1497393575 
446. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
476. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1440102707 
578. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1349151068 
586. 10430  [うー！がぉー！]    [キャッツアイ新札幌店@北海道@北海道] Score: 1345932584 
645. AnchoR  [アテンション ゴッド]    [キャッツアイ篠路店@北海道@北海道] Score: 1307174682 
650. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1304577939 
682. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1281174820 
684. Miem.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1280649970 
709. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1261169768 
710. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1260597180 
877. akucchi*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1161566747 
887. Sukurudo  [Starlight Road God]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1155612556 
907. BOLUX  [ブローン自走要塞]    [キャッツアイ手稲店@北海道@北海道] Score: 1144345390 
908. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1143957494 
947. MoyaC.  [I love ATTACK THE MUSIC]    [ラウンドワン函館店@北海道@北海道] Score: 1126118546 
951. momonoke  [りんご]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1123849659 
983. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1106810269 
989. orca.  [駆け出し]    [キャッツアイ麻生店@北海道@北海道] Score: 1104694088 
