34. Shikyo  [TGM神]    [キャッツアイ麻生店@北海道@北海道] Score: 1604263591 
87. LEE  [七福神]    [キャッツアイ恵庭店@北海道@北海道] Score: 1592511385 
96. Sasuke  [エストポリス神]    [ビッグバン釧路@北海道@北海道] Score: 1588753139 
104. Rinne!?  [竹林のルーガルー]    [プラボ札幌西町店@北海道@北海道] Score: 1587343237 
113. chris  [Detonator God]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1584365586 
259. Tokky  [Blue God Blue]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1515832057 
263. SCP-106  [たのしー！]    [ゲームランド新さっぽろ@北海道@北海道] Score: 1511701199 
278. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1501826048 
310. CHIK.WAV  [初代SS CLASS]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1482023417 
311. BIS(9)  [すっごーい！]    [ラウンドワン旭川店@北海道@北海道] Score: 1481687751 
330. Ayahi  [I love "Five to Seven"]    [アドアーズ狸小路@北海道@北海道] Score: 1465747609 
341. COACH  [LINK FESTIVAL]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1457663199 
354. +HAKASE+  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1447196367 
373. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1432708947 
377. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1430676548 
440. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1376782326 
453. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1366646240 
522. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310527967 
536. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1297326460 
596. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1250801709 
597. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1250553113 
619. ToKi  [ノルニル先生]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1236168601 
644. tzw10430  [Keep the Fujin]    [キャッツアイ新札幌店@北海道@北海道] Score: 1221105781 
753. NAZO-J.I  [GREAT THING]    [ソユーゲームフィールド発寒店@北海道@北海道] Score: 1167662538 
779. SHINDEN  [God hive of Ra]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1154174040 
791. KANONE  [祀られる風の人間]    [ギャラクシーゲート函館@北海道@北海道] Score: 1146603785 
818. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1132405762 
822. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1130621880 
845. BOLUX  [ブローン自走要塞]    [キャッツアイ手稲店@北海道@北海道] Score: 1119461016 
860. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1109933635 
883. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1099427676 
902. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1085416899 
918. MoyaC.  [あのね…実はわたし、女神なんだ…?]    [ギャラクシーゲート函館@北海道@北海道] Score: 1076445346 
924. Jibri-l*  [Ｓ級幼稚園児]    [キャッツアイ麻生店@北海道@北海道] Score: 1071501139 
929. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1069194755 
962. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1050406605 
970. Bump  [I love "天体観測"]    [キャッツアイ麻生店@北海道@北海道] Score: 1045458021 
989. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1034713435 
990. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1033433507 
