10. Megumin  [大☆天☆才]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581626119 
93. NORIp  [Extra God]    [スーパーノバ天童@山形県@東北] Score: 1567453159 
104. SHUU  [I love "東方外魔伝"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1563895296 
131. TAKE  [God's Blood]    [スーパーノバ天童@山形県@東北] Score: 1554508365 
132. cycla.  [I love "ようこそジャパリパークへ"]    [セガワールド北山形@山形県@東北] Score: 1554317937 
182. GFP  [I love Ray series]    [スーパーノバ天童@山形県@東北] Score: 1531960625 
192. H.SYSTEM  [トムヤムクン]    [遊パラダイス@山形県@東北] Score: 1527662404 
225. CHIRU9  [I love チルノ]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1512805622 
322. SYANK  [栃木勢]    [アピナ鶴岡店@山形県@東北] Score: 1454226724 
386. UDONGE_  [グルーヴ一万段]    [セガワールド米沢@山形県@東北] Score: 1409939120 
486. RON-G  [I love "ナイト・オブ・ナイツ"]    [スーパーノバ天童@山形県@東北] Score: 1319127325 
568. CO-kichi  [最高の舞台を目指せ！]    [セガワールド北山形@山形県@東北] Score: 1258786686 
699. FMNR  [ふたつのARIA]    [スーパーノバ天童@山形県@東北] Score: 1176552431 
707. Toaru  [＼ﾁｰﾝ／]    [ビーカム成沢店@山形県@東北] Score: 1174426500 
780. Remilia  [THE BLUE GOD]    [アピナ鶴岡店@山形県@東北] Score: 1141262410 
802. Ohyang  [宮城勢]    [カレッジ・スクエア@山形県@東北] Score: 1129455201 
840. FeeT  [二代目超シューティング神]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1105613107 
